Index,acc,name,length,organism,_5,level,_7
9,Q06649,SH3 domain-binding protein 2,559,Mus musculus (Mouse),0.512,2.0,0.555
10,Q0P5A7,Eukaryotic translation initiation factor 4E-binding protein 1,118,Bos taurus (Bovine),0.653,2.0,0.72
18,Q9NYB9,Abl interactor 2,513,Homo sapiens (Human),0.517,2.0,0.665
26,P33379,Actin assembly-inducing protein,639,Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e),0.607,2.0,0.915
33,A2AM29,Protein AF-9,569,Mus musculus (Mouse),0.596,2.0,0.634
34,P42568,Protein AF-9,568,Homo sapiens (Human),0.595,2.0,0.636
74,P24275,A-kinase anchor protein 5,428,Bos taurus (Bovine),0.664,2.0,0.958
76,P24588,A-kinase anchor protein 5,427,Homo sapiens (Human),0.564,2.0,0.981
78,Q5QD51,A-kinase anchor protein 12,1687,Rattus norvegicus (Rat),0.686,2.0,0.996
91,Q9JJW6,Aly/REF export factor 2,218,Mus musculus (Mouse),0.564,2.0,0.61
97,Q99004,"Amelogenin, Y isoform",192,Bos taurus (Bovine),0.625,2.0,1.0
120,Q3SZ31,Anaphase-promoting complex subunit 15,121,Bos taurus (Bovine),0.628,2.0,0.992
122,P60006,Anaphase-promoting complex subunit 15,121,Homo sapiens (Human),0.628,2.0,1.0
123,P60007,Anaphase-promoting complex subunit 15,132,Mus musculus (Mouse),0.568,2.0,1.0
124,D3ZQX4,Anaphase-promoting complex subunit 15,132,Rattus norvegicus (Rat),0.568,2.0,1.0
127,P70478,Adenomatous polyposis coli protein,2842,Rattus norvegicus (Rat),0.523,2.0,
128,Q61315,Adenomatous polyposis coli protein,2845,Mus musculus (Mouse),0.528,2.0,
129,P25054,Adenomatous polyposis coli protein,2843,Homo sapiens (Human),0.516,2.0,
131,A0JNH9,Aprataxin and PNK-like factor,485,Bos taurus (Bovine),0.511,2.0,0.757
144,Q8N726,Tumor suppressor ARF,132,Homo sapiens (Human),0.583,2.0,1.0
158,Q12774,Rho guanine nucleotide exchange factor 5,1597,Homo sapiens (Human),0.572,2.0,0.696
165,O14497,AT-rich interactive domain-containing protein 1A,2285,Homo sapiens (Human),0.596,2.0,0.754
167,A2CG63,AT-rich interactive domain-containing protein 4B,1314,Mus musculus (Mouse),0.578,2.0,0.67
168,Q4LE39,AT-rich interactive domain-containing protein 4B,1312,Homo sapiens (Human),0.593,2.0,0.675
169,Q96B23,Protein ARK2N,404,Homo sapiens (Human),0.601,2.0,1.0
218,P54259,Atrophin-1,1190,Homo sapiens (Human),0.699,2.0,0.931
220,Q92858,Transcription factor ATOH1,354,Homo sapiens (Human),0.542,2.0,0.864
229,Q29A33,Ataxin-2 homolog,1121,Drosophila pseudoobscura pseudoobscura (Fruit fly),0.62,2.0,0.908
230,Q99700,Ataxin-2,1313,Homo sapiens (Human),0.635,2.0,0.912
288,O00512,B-cell CLL/lymphoma 9 protein,1426,Homo sapiens (Human),0.514,2.0,0.952
289,Q9D219,B-cell CLL/lymphoma 9 protein,1425,Mus musculus (Mouse),0.54,2.0,0.956
292,Q59U10,Biofilm and cell wall regulator 1,740,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),0.631,2.0,0.901
298,Q9R224,Protein BEX1,128,Mus musculus (Mouse),0.609,2.0,1.0
299,Q3MKQ2,Protein BEX1,128,Rattus norvegicus (Rat),0.602,2.0,0.992
301,Q00994,Protein BEX3,111,Homo sapiens (Human),0.568,2.0,0.892
310,Q9UBW5,Bridging integrator 2,565,Homo sapiens (Human),0.529,2.0,0.6
312,Q8WV28,B-cell linker protein,456,Homo sapiens (Human),0.583,2.0,0.73
313,Q9QUN3,B-cell linker protein,457,Mus musculus (Mouse),0.593,2.0,0.733
315,Q4KM52,B-cell linker protein,457,Rattus norvegicus (Rat),0.589,2.0,0.733
317,Q12983,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,194,Homo sapiens (Human),0.526,2.0,1.0
449,Q14781,Chromobox protein homolog 2,532,Homo sapiens (Human),0.588,2.0,0.9
450,P30658,Chromobox protein homolog 2,519,Mus musculus (Mouse),0.503,2.0,0.896
476,Q9H0W5,Coiled-coil domain-containing protein 8,538,Homo sapiens (Human),0.617,2.0,0.954
477,P62521,Coiled-coil domain-containing protein 8,643,Rattus norvegicus (Rat),0.689,2.0,0.942
478,D3YZV8,Coiled-coil domain-containing protein 8 homolog,685,Mus musculus (Mouse),0.58,2.0,0.917
483,O75909,Cyclin-K,580,Homo sapiens (Human),0.55,2.0,0.564
501,Q3SZT7,Anaphase-promoting complex subunit CDC26,85,Bos taurus (Bovine),0.659,2.0,1.0
503,Q8NHZ8,Anaphase-promoting complex subunit CDC26,85,Homo sapiens (Human),0.659,2.0,0.941
504,Q5RAQ7,Anaphase-promoting complex subunit CDC26,85,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),0.659,2.0,0.976
506,Q96FF9,Sororin,252,Homo sapiens (Human),0.567,2.0,1.0
510,D2H526,Cyclin-dependent kinase 12,1491,Ailuropoda melanoleuca (Giant panda),0.655,2.0,0.74
511,Q9NYV4,Cyclin-dependent kinase 12,1490,Homo sapiens (Human),0.643,2.0,0.74
515,E1BB52,Cyclin-dependent kinase 13,1512,Bos taurus (Bovine),0.56,2.0,0.766
516,Q14004,Cyclin-dependent kinase 13,1512,Homo sapiens (Human),0.532,2.0,0.763
517,Q69ZA1,Cyclin-dependent kinase 13,1511,Mus musculus (Mouse),0.518,2.0,0.756
518,O76039,Cyclin-dependent kinase-like 5,960,Homo sapiens (Human),0.559,2.0,0.684
520,O19002,Cyclin-dependent kinase inhibitor 1,164,Felis catus (Cat) (Felis silvestris catus),0.518,2.0,0.829
521,P38936,Cyclin-dependent kinase inhibitor 1,164,Homo sapiens (Human),0.543,2.0,0.841
522,O19001,Cyclin-dependent kinase inhibitor 1B,198,Felis catus (Cat) (Felis silvestris catus),0.677,2.0,0.869
