filename,uniprot_id
AF-P70478-F1-model_v6.pdb,P70478
AF-Q61315-F1-model_v6.pdb,Q61315
AF-P25054-F1-model_v6.pdb,P25054
AF-P04289-F1-model_v6.pdb,P04289
AF-Q02388-F1-model_v6.pdb,Q02388
AF-Q63870-F1-model_v6.pdb,Q63870
AF-P03211-F1-model_v6.pdb,P03211
AF-P12978-F1-model_v6.pdb,P12978
AF-P03204-F1-model_v6.pdb,P03204
AF-P29175-F1-model_v6.pdb,P29175
AF-P0C746-F1-model_v6.pdb,P0C746
AF-P0C745-F1-model_v6.pdb,P0C745
AF-P29128-F1-model_v6.pdb,P29128
AF-P08393-F1-model_v6.pdb,P08393
AF-P08353-F1-model_v6.pdb,P08353
AF-P03170-F1-model_v6.pdb,P03170
AF-Q9UMN6-F1-model_v6.pdb,Q9UMN6
AF-O14686-F1-model_v6.pdb,O14686
AF-P0C6L6-F1-model_v6.pdb,P0C6L6
AF-P03230-F1-model_v6.pdb,P03230
AF-P29362-F1-model_v6.pdb,P29362
AF-P13198-F1-model_v6.pdb,P13198
AF-Q96T58-F1-model_v6.pdb,Q96T58
AF-Q3LZX4-F1-model_v6.pdb,Q3LZX4
AF-Q9PZ51-F1-model_v6.pdb,Q9PZ51
AF-Q9PZ50-F1-model_v6.pdb,Q9PZ50
AF-Q9PZ49-F1-model_v6.pdb,Q9PZ49
AF-Q64960-F1-model_v6.pdb,Q64960
AF-Q9J4B0-F1-model_v6.pdb,Q9J4B0
AF-Q98Y32-F1-model_v6.pdb,Q98Y32
AF-P12648-F1-model_v6.pdb,P12648
AF-Q8JMI6-F1-model_v6.pdb,Q8JMI6
AF-P32923-F1-model_v6.pdb,P32923
AF-Q96598-F1-model_v6.pdb,Q96598
AF-P59595-F1-model_v6.pdb,P59595
AF-Q9DUE2-F1-model_v6.pdb,Q9DUE2
AF-O57285-F1-model_v6.pdb,O57285
AF-P04859-F1-model_v6.pdb,P04859
AF-P14251-F1-model_v6.pdb,P14251
AF-P04860-F1-model_v6.pdb,P04860
AF-P14252-F1-model_v6.pdb,P14252
AF-P15830-F1-model_v6.pdb,P15830
AF-P17280-F1-model_v6.pdb,P17280
AF-P0C206-F1-model_v6.pdb,P0C206
AF-Q0R5R0-F1-model_v6.pdb,Q0R5R0
AF-P0C208-F1-model_v6.pdb,P0C208
AF-Q8VHV8-F1-model_v6.pdb,Q8VHV8
AF-P04610-F1-model_v6.pdb,P04610
AF-P05907-F1-model_v6.pdb,P05907
AF-P19553-F1-model_v6.pdb,P19553
AF-P10233-F1-model_v6.pdb,P10233
AF-O55777-F1-model_v6.pdb,O55777
AF-P0C1C6-F1-model_v6.pdb,P0C1C6
AF-A0A0C4DZD0-F1-model_v6.pdb,A0A0C4DZD0
AF-I1S077-F1-model_v6.pdb,I1S077
AF-B2B4A7-F1-model_v6.pdb,B2B4A7
AF-A0A6G1GC18-F1-model_v6.pdb,A0A6G1GC18
AF-A0A6A6W543-F1-model_v6.pdb,A0A6A6W543
AF-U1GD31-F1-model_v6.pdb,U1GD31
AF-A0AAE0IHQ0-F1-model_v6.pdb,A0AAE0IHQ0
AF-N4XC26-F1-model_v6.pdb,N4XC26
AF-A0A177DM10-F1-model_v6.pdb,A0A177DM10
AF-A0A4Q4N2W0-F1-model_v6.pdb,A0A4Q4N2W0
AF-A0A0F7ZLF1-F1-model_v6.pdb,A0A0F7ZLF1
AF-G3JG50-F1-model_v6.pdb,G3JG50
AF-A0A2J6TT53-F1-model_v6.pdb,A0A2J6TT53
AF-T0JPW2-F1-model_v6.pdb,T0JPW2
AF-U4LFZ2-F1-model_v6.pdb,U4LFZ2
